Time (UTC),Latitude (deg),Longitude (deg),Altitude (km),Speed (km/s)
2026-01-10 10:20:51,-17.786347,80.510533,417.030169,7.662693
2026-01-10 10:50:51,51.474193,-176.674598,412.021242,7.662657
2026-01-10 11:20:51,-22.911915,-80.451289,426.809179,7.651041
2026-01-10 11:50:51,-26.096865,49.529263,418.240859,7.660228
2026-01-10 12:20:51,50.972682,142.520450,411.052825,7.663840
2026-01-10 12:50:51,-14.484341,-111.076069,426.430607,7.652439
2026-01-10 13:20:51,-33.882417,17.351103,419.436132,7.657594
2026-01-10 13:50:51,47.875050,103.030261,410.488622,7.665059
2026-01-10 14:20:51,-5.819711,-141.124679,425.663858,7.653873
2026-01-10 14:50:51,-40.830472,-16.580457,420.612131,7.654990
2026-01-10 15:20:51,42.700683,65.971095,410.332106,7.666222
2026-01-10 15:50:51,2.935326,-170.955232,424.518425,7.655245
2026-01-10 16:20:51,-46.490845,-52.819998,421.765248,7.652610
2026-01-10 16:50:51,36.066210,31.363645,410.557465,7.667208
2026-01-10 17:20:51,11.649422,159.101541,423.034686,7.656496
2026-01-10 17:50:51,-50.277040,-91.570685,422.885920,7.650628
2026-01-10 18:20:51,28.473994,-1.298878,411.115551,7.667884
2026-01-10 18:50:51,20.183038,128.700237,421.282874,7.657611
2026-01-10 19:20:51,-51.613225,-132.093769,423.953695,7.649175
2026-01-10 19:50:51,20.278315,-32.596496,411.942050,7.668124
2026-01-10 20:20:51,28.362905,97.438914,419.358426,7.658609
2026-01-10 20:50:51,-50.248186,-172.599758,424.934546,7.648325
2026-01-10 21:20:51,11.722786,-63.026002,412.966591,7.667830
2026-01-10 21:50:51,35.948907,64.824141,417.374129,7.659539
2026-01-10 22:20:51,-46.443121,148.689721,425.781030,7.648092
2026-01-10 22:50:51,2.983517,-92.992356,414.121402,7.666947
2026-01-10 23:20:51,42.591037,30.277784,415.449995,7.660463
2026-01-10 23:50:51,-40.777768,112.494671,426.435458,7.648433
2026-01-11 00:20:51,-5.797502,-122.843391,415.348272,7.665479
2026-01-11 00:50:51,47.791227,-6.712109,413.702097,7.661437
2026-01-11 01:20:51,-33.837481,78.602043,426.835731,7.649256
2026-01-11 01:50:51,-14.486690,-152.911868,416.602877,7.663488
2026-01-11 02:20:51,50.933848,-46.145301,412.231785,7.662497
2026-01-11 02:50:51,-26.069605,46.455781,426.923084,7.650435
2026-01-11 03:20:51,-22.935246,176.442249,417.856002,7.661095
2026-01-11 03:50:51,51.491902,-86.935790,411.116656,7.663648
2026-01-11 04:20:51,-17.783787,15.501234,426.650662,7.651832
2026-01-11 04:50:51,-30.951809,144.790933,419.091706,7.658466
2026-01-11 05:20:51,49.353844,-127.129902,410.404420,7.664850
2026-01-11 05:50:51,-9.194554,-14.722850,425.991669,7.653313
2026-01-11 06:20:51,-38.266343,111.611317,420.302965,7.655796
2026-01-11 06:50:51,44.909345,-165.179292,410.110388,7.666027
2026-01-11 07:20:51,-0.461246,-44.596009,424.945847,7.654768
2026-01-11 07:50:51,-44.486319,76.324843,421.485746,7.653284
2026-01-11 08:20:51,38.773677,159.311887,410.218799,7.667067
2026-01-11 08:50:51,8.281853,-74.454293,423.543239,7.656119
2026-01-11 09:20:51,-49.071782,38.529605,422.632669,7.651117
2026-01-11 09:50:51,31.504720,125.969220,410.687649,7.667842
2026-01-11 10:20:51,16.901279,-104.632126,421.844525,7.657333
